Store,Dept,Date,Weekly_Sales,IsHoliday_x,Type,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday_y
1,1,2010-02-05,24924.5,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
1,2,2010-02-05,50605.27,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
1,3,2010-02-05,13740.12,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
1,4,2010-02-05,39954.04,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
1,5,2010-02-05,32229.38,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
1,1,2010-02-12,46039.49,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106,True
1,2,2010-02-12,44682.74,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106,True
1,3,2010-02-12,10887.84,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106,True
1,4,2010-02-12,35351.21,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106,True
1,5,2010-02-12,29620.81,True,A,151315,38.51,2.548,,,,,,211.24216980000003,8.106,True
1,1,2010-02-19,41595.55,False,A,151315,39.93,2.5140000000000002,,,,,,211.2891429,8.106,False
1,2,2010-02-19,47928.89,False,A,151315,39.93,2.5140000000000002,,,,,,211.2891429,8.106,False
1,3,2010-02-19,11523.47,False,A,151315,39.93,2.5140000000000002,,,,,,211.2891429,8.106,False
1,4,2010-02-19,36826.95,False,A,151315,39.93,2.5140000000000002,,,,,,211.2891429,8.106,False
1,5,2010-02-19,26468.27,False,A,151315,39.93,2.5140000000000002,,,,,,211.2891429,8.106,False
1,1,2010-02-26,19403.54,False,A,151315,46.63,2.5610000000000004,,,,,,211.3196429,8.106,False
1,2,2010-02-26,44292.87,False,A,151315,46.63,2.5610000000000004,,,,,,211.3196429,8.106,False
1,3,2010-02-26,11135.17,False,A,151315,46.63,2.5610000000000004,,,,,,211.3196429,8.106,False
1,4,2010-02-26,34660.16,False,A,151315,46.63,2.5610000000000004,,,,,,211.3196429,8.106,False
1,5,2010-02-26,24101.89,False,A,151315,46.63,2.5610000000000004,,,,,,211.3196429,8.106,False
1,1,2010-03-05,21827.9,False,A,151315,46.5,2.625,,,,,,211.3501429,8.106,False
1,2,2010-03-05,48397.98,False,A,151315,46.5,2.625,,,,,,211.3501429,8.106,False
1,3,2010-03-05,12275.58,False,A,151315,46.5,2.625,,,,,,211.3501429,8.106,False
