IsHoliday,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,md1_present,md2_present,md3_present,md4_present,md5_present,Type_A,Type_B,Store_1,Store_2,Store_3,Dept_1,Dept_2,Dept_3,Dept_4,Dept_5,Black_Friday_no,Black_Friday_yes,Pre_christmas_no,Pre_christmas_yes,Lagged_Sales,Lagged_Available,Sales_diff,Difference
0,37392,69.03,3.353,0.0,0.0,0.0,0.0,0.0,220.9144005,7.197,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,16641.16,1.0,0.0,-612.8400000000001
0,151315,70.43,3.891,10121.97,0.0,77.98,3750.59,4510.72,221.4356112,7.143,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,9129.23,1.0,-327.66999999999825,-533.6799999999985
0,151315,75.55,3.749,21290.13,0.0,69.89,4977.35,3261.04,221.6718,7.143,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,16347.6,1.0,843.6949999999979,43.85499999999956
0,202307,63.27,2.719,0.0,0.0,0.0,0.0,0.0,210.4798874,8.2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,32213.99,1.0,-779.8400000000001,-51331.92000000001
0,202307,81.04,3.346,12126.02,314.0,60.99,6058.6,36430.33,221.4411622,6.891,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,66904.1,1.0,0.0,-2011.0699999999924
0,151315,79.69,3.355,0.0,0.0,0.0,0.0,0.0,216.7105965,7.9620000000000015,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,43390.94,1.0,1196.6849999999977,-1457.4649999999967
0,202307,89.05,2.692,0.0,0.0,0.0,0.0,0.0,211.2951413,8.099,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,22795.72,1.0,-669.2000000000007,193.2200000000012
0,151315,78.39,3.346,8624.56,171.25,3.05,2524.07,7063.68,221.8030211,7.143,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,39019.74,1.0,-1619.4300000000005,0.0
0,202307,86.26,2.653,0.0,0.0,0.0,0.0,0.0,210.9950134,8.2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,23918.56,1.0,-161.20000000000073,0.0
0,37392,79.51,3.749,2430.23,0.0,30.92,1159.71,1432.53,225.1797511,6.664,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,4991.19,1.0,-1044.0149999999994,-1235.0649999999996
0,37392,51.86,3.261,3927.76,3323.64,0.0,226.97,1725.19,223.3755259,6.832999999999998,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,5745.49,1.0,-299.79500000000013,-44.17500000000018
0,151315,69.07,3.891,6186.19,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,28386.81,1.0,-6490.525000000002,3437.954999999998
0,37392,63.91,3.3080000000000003,1383.53,23.27,19.95,865.09,2926.05,221.6432852,7.197,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,8223.47,1.0,751.9050000000008,-452.4850000000006
0,202307,87.7,3.48,0.0,0.0,0.0,0.0,0.0,214.9296249,7.852,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,46307.86,1.0,-1365.8249999999969,510.5350000000035
0,202307,65.8,2.72,0.0,0.0,0.0,0.0,0.0,211.4713286,8.163,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,14480.96,1.0,-3016.869999999999,-26.69000000000051
0,202307,38.25,2.989,0.0,0.0,0.0,0.0,0.0,212.2240646,8.027999999999999,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,13959.9,1.0,375.7100000000009,2277.49
0,151315,81.21,2.577,0.0,0.0,0.0,0.0,0.0,211.53124790000004,7.787000000000001,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,36404.6,1.0,-2096.8700000000026,-4014.150000000001
0,151315,82.11,2.582,0.0,0.0,0.0,0.0,0.0,211.5224596,7.787000000000001,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,36603.78,1.0,-2296.050000000003,308.71999999999383
0,37392,66.53,3.787,737.08,36.1,1.43,92.11,583.9,224.79091040000003,6.832999999999998,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,13357.4,1.0,-2200.82,-2839.58
0,151315,77.22,3.5610000000000004,4039.39,0.0,745.19,1429.96,3631.13,221.744944,7.143,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,44411.23,1.0,434.5849999999992,-971.2549999999974
0,151315,51.41,2.7710000000000004,0.0,0.0,0.0,0.0,0.0,211.8896737,7.837999999999999,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,35008.03,1.0,2359.5650000000023,288.9850000000006
0,37392,52.42,3.157,3824.22,9389.98,15.0,415.36,1476.85,223.1923049,6.832999999999998,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,7793.74,1.0,-1643.58,-211.79
0,151315,83.36,2.608,0.0,0.0,0.0,0.0,0.0,211.2351443,7.787000000000001,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,13751.3,1.0,-312.57500000000067,-3491.8950000000004
0,37392,88.88,3.638,0.0,0.0,0.0,0.0,0.0,218.9605873,7.567,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,9321.12,1.0,-17.6200000000008,643.8299999999998
1,37392,51.65,3.409,8687.47,1594.87,2.2,2144.87,2577.83,223.753643,6.832999999999998,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,16221.04,1.0,-1065.3500000000004,-4604.719999999998
0,202307,89.53,2.627,0.0,0.0,0.0,0.0,0.0,211.1608049,8.099,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,22749.21,1.0,-622.6899999999988,-669.2000000000007
0,37392,83.32,2.608,0.0,0.0,0.0,0.0,0.0,214.55649680000005,7.346,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,6945.46,1.0,1351.0150000000006,976.3950000000003
0,202307,69.21,3.81,0.0,0.0,0.0,0.0,0.0,215.27726830000003,7.931,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,29179.9,1.0,-469.5550000000003,7432.685000000001
1,151315,44.55,3.129,5762.1,46011.38,260.36,983.65,4735.78,219.5359898,7.866,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,65615.36,1.0,-25935.475,-3860.055
1,151315,48.02,3.409,13925.06,6927.23,101.64,8471.88,6886.04,220.26517830000003,7.348,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,28307.43,1.0,8360.220000000001,-1428.3899999999994
0,151315,86.11,3.417,27584.78,119.98,30.23,12007.04,4661.71,221.9498642,6.908,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,45008.22,1.0,2651.709999999999,-1764.1299999999976
0,37392,61.29,3.459,0.0,0.0,0.0,0.0,0.0,217.4653683,7.551,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,11156.58,1.0,0.0,1970.26
0,151315,74.97,3.717,17212.52,7.0,18.79,1523.11,7992.72,222.5820193,6.908,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,18368.51,1.0,-6464.3049999999985,-2384.0149999999994
0,37392,77.18,2.854,0.0,0.0,0.0,0.0,0.0,213.6196139,7.343,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3841.05,1.0,106.125,286.82500000000033
